user_id,created_at,country,is_verified
1,2025-01-10 14:00:38,Poland,True
2,2024-06-19 11:48:05,Ukraine,True
3,2024-05-16 23:14:16,Poland,True
4,2025-02-19 05:52:20,Germany,True
5,2024-08-22 01:34:47,Ukraine,True
6,2024-08-10 08:40:42,Ukraine,True
7,2024-08-01 22:35:44,Ukraine,True
8,2024-06-30 10:42:30,Poland,True
9,2025-02-17 06:31:48,Ukraine,True
10,2024-06-16 01:26:42,Germany,True
11,2025-01-25 01:25:01,Germany,True
12,2025-02-18 21:38:40,Ukraine,True
13,2025-04-18 17:50:13,USA,True
14,2024-12-05 01:18:19,Ukraine,True
15,2024-06-10 00:26:58,Germany,True
16,2024-12-22 13:54:35,Germany,False
17,2024-10-18 02:43:02,Ukraine,False
18,2024-05-19 14:21:24,Ukraine,True
19,2024-05-18 19:51:03,Germany,True
20,2024-06-12 15:25:25,Germany,True
21,2024-07-31 03:58:28,Poland,True
22,2024-08-05 14:40:39,Ukraine,True
23,2024-11-19 12:22:24,Ukraine,True
24,2024-12-27 01:20:31,Ukraine,True
25,2024-05-17 13:27:14,Poland,True
26,2024-12-11 05:18:14,Ukraine,True
27,2024-07-23 11:25:19,Ukraine,False
28,2025-02-09 07:54:26,Poland,True
29,2025-01-14 15:28:58,Ukraine,False
30,2025-02-03 14:56:36,Ukraine,True
31,2024-12-04 21:20:36,USA,True
32,2024-10-17 04:19:44,Ukraine,True
33,2024-07-31 20:46:34,Germany,False
34,2024-10-28 17:03:09,Ukraine,True
35,2024-12-22 02:28:30,Ukraine,True
36,2024-08-23 07:02:46,Ukraine,False
37,2025-03-17 14:33:34,Germany,True
38,2025-04-09 20:35:13,Poland,True
39,2024-05-09 18:41:37,USA,True
40,2025-02-25 22:43:05,Ukraine,True
41,2025-03-16 04:54:02,Ukraine,True
42,2024-07-08 06:15:12,Ukraine,False
43,2025-02-02 09:15:05,Ukraine,True
44,2024-10-18 09:10:21,USA,True
45,2024-09-16 09:29:07,Ukraine,True
46,2024-08-23 04:04:10,Ukraine,True
47,2024-07-06 15:17:41,Poland,True
48,2024-07-29 20:59:25,Ukraine,True
49,2025-02-27 18:24:06,USA,True
50,2024-09-14 23:24:33,USA,False
51,2024-06-15 22:47:22,Ukraine,False
52,2024-06-12 06:34:29,Poland,True
53,2024-10-01 19:17:59,Ukraine,True
54,2024-06-13 19:34:58,Ukraine,True
55,2024-09-23 16:03:04,Ukraine,False
56,2025-04-01 09:20:27,Germany,True
57,2024-09-17 20:01:13,Ukraine,True
58,2024-12-27 17:15:19,USA,False
59,2024-08-17 23:38:02,Ukraine,True
60,2025-03-16 17:06:05,Poland,True
61,2024-05-24 03:06:29,Poland,True
62,2025-02-14 15:42:50,Poland,True
63,2024-11-01 16:16:15,Ukraine,True
64,2024-12-01 12:07:44,Ukraine,False
65,2024-06-24 17:35:05,Germany,False
66,2025-04-30 10:32:12,Ukraine,True
67,2024-10-01 06:19:01,Germany,False
68,2024-06-06 20:35:30,Ukraine,True
69,2024-12-07 15:30:44,Ukraine,False
